Shawn Pyfrom    Oliver  18 - E. Peterbus Unum
Gary Cole   Various     18 - E. Peterbus Unum
Luke Perry  Himself     19 - The Story on Page One
Nicole Sullivan     Angelica/Cheerleader/Sorority Girl  19 - The Story on Page One
Adam Carolla    Death   20 - Wasted Talent
Julia Sweeney   Woman in Bar    20 - Wasted Talent
Michael McKean  Pawtucket Pat   20 - Wasted Talent
Leif Garrett    Himself     1 - The Thin White Line
June Foray  Rocket J. Squirrel  1 - The Thin White Line
Haley Joel Osment   Kid in the Bathroom     1 - The Thin White Line
Jenna Jameson   Herself     2 - Brian Does Hollywood
Ron Jeremy  Himself     2 - Brian Does Hollywood
Ray Liotta  Zack    2 - Brian Does Hollywood
Louise DuArt    Joan Rivers     2 - Brian Does Hollywood
Olivia Hack     Melissa Rivers  2 - Brian Does Hollywood
Gary Cole   Michael Eisner  2 - Brian Does Hollywood
Ricky Blitt     Milano's Lawyer     3 - Mr. Griffin Goes to Washington
Alyssa Milano   Herself     3 - Mr. Griffin Goes to Washington
Meredith Scott Lynn     Various     3 - Mr. Griffin Goes to Washington
Jack Sheldon    The Bill    3 - Mr. Griffin Goes to Washington
Edward Asner    Steve Bellows   4 - One If by Clam, Two If by Sea
Hugh Laurie     Bar Patron  4 - One If by Clam, Two If by Sea
Patrick Duffy   Jack / Salesman / Teacher   5 - And the Wiener Is...
Adam Carolla    Death   6 - Death Lives
Peter Frampton  Himself     6 - Death Lives
Estelle Harris  Death's Mother  6 - Death Lives
Laura Silverman     Amy     6 - Death Lives
Michael Chiklis     Bronx Guy #1    7 - Lethal Weapons
Peter Gallagher     Jared   7 - Lethal Weapons
Hugh Downs  Himself     8 - The Kiss Seen Around the World
Abe Vigoda  Himself     8 - The Kiss Seen Around the World
Josh Peck   Charlie (uncredited)    8 - The Kiss Seen Around the World
Adam Carolla    Death   9 - Mr. Saturday Knight
R. Lee Ermey    Coach   9 - Mr. Saturday Knight
Will Ferrell    The Black Knight    9 - Mr. Saturday Knight
Jimmy Kimmel    Death's Dog/Man in Suit/Renaissance Guy     9 - Mr. Saturday Knight
Jackson Douglas     Vacuum Repairman    9 - Mr. Saturday Knight
Ralph Garman    Gene Rayburn    9 - Mr. Saturday Knight
Michael Chiklis     Hennessey   10 - A Fish out of Water
Brian Doyle-Murray  Salty   10 - A Fish out of Water
Alfonso Ribeiro     Himself     10 - A Fish out of Water
Carol Kane  Carol   11 - Emission Impossible
Wallace Shawn   Bertram     11 - Emission Impossible
Majel Barrett   Ship Computer   11 - Emission Impossible
Dakota Fanning  Little Girl     12 - To Love and Die in Dixie
Waylon Jennings     Himself     12 - To Love and Die in Dixie
Kathleen Wilhoite   Sam     12 - To Love and Die in Dixie
Bob Barker  Himself     13 - Screwed the Pooch
Don LaFontaine  FOX Announcer   13 - Screwed the Pooch
Tara Strong     Cindi/Waitress/Girl     14 - Peter Griffin: Husband, Father...Brother?
Meredith Scott Lynn     Brenda  14 - Peter Griffin: Husband, Father...Brother?
Wayne Collins   Basketball Player   14 - Peter Griffin: Husband, Father...Brother?
Tony Danza  Himself portraying Joe Swanson  15 - Ready, Willing, and Disabled
Valerie Bertinelli  Herself portraying Bonnie Swanson   15 - Ready, Willing, and Disabled
Alex Rocco  Bea Arthur portraying Peter Griffin     15 - Ready, Willing, and Disabled
Peter Criss     Himself     16 - A Very Special Family Guy Freakin' Christmas
Ace Frehley     Himself     16 - A Very Special Family Guy Freakin' Christmas
Gene Simmons    Himself     16 - A Very Special Family Guy Freakin' Christmas
Paul Stanley    Himself     16 - A Very Special Family Guy Freakin' Christmas
Fred Willard    Dave Campbell   18 - From Method to Madness
Rachael MacFarlane  Olivia  18 - From Method to Madness
Jennifer Love Hewitt    Herself     19 - Stuck Together, Torn Apart
Andy Dick   Himself     20 - Road to Europe
Jon Favreau     Various     20 - Road to Europe
Sean Flynn  Various     20 - Road to Europe
Lauren Graham   Mother Maggie   20 - Road to Europe
Michelle Horn   Various     20 - Road to Europe
Don LaFontaine  Various     20 - Road to Europe
Jane Lynch  Dotty Campbell  20 - Road to Europe
Michael McKean  Pengrove Pig/Andy Rooney/Camel Salesman     20 - Road to Europe
Fred Willard    Dave Campbell   20 - Road to Europe
KISS    Themselves  20 - Road to Europe
Adam Carolla    Death   21 - Family Guy Viewer Mail 1
Judy Greer  Various     21 - Family Guy Viewer Mail 1
Regis Philbin   Himself     21 - Family Guy Viewer Mail 1
Kelly Ripa  Herself     21 - Family Guy Viewer Mail 1
Michael Winslow     Himself     21 - Family Guy Viewer Mail 1
Alex Trebek     Himself (uncredited)    21 - Family Guy Viewer Mail 1
Bill Goldberg   Brawny Guy on Bus   21 - Family Guy Viewer Mail 1
Ricky Blitt     Mordecai    22 - When You Wish Upon a Weinstein
Ed McMahon  Himself     22 - When You Wish Upon a Weinstein
Ben Stein   Rabbi Goldberg  22 - When You Wish Upon a Weinstein
Peter Riegert   Max Weinstein   22 - When You Wish Upon a Weinstein
Hunter Gomez    Pinocchio   1 - North by North Quahog
Don LaFontaine  Himself     1 - North by North Quahog
André Sogliuzzo     Mel Gibson/Chris Tucker/Hotel Manager   1 - North by North Quahog
Hugh Laurie     TV Presenters voice     2 - Fast Times at Buddy Cianci, Jr. High
Drew Barrymore  Mrs. Lockhart   2 - Fast Times at Buddy Cianci, Jr. High
Jonathan Lipnicki   Wesly   2 - Fast Times at Buddy Cianci, Jr. High
Tara Strong     Amanda  2 - Fast Times at Buddy Cianci, Jr. High
Steven Zirnkilton   Himself     2 - Fast Times at Buddy Cianci, Jr. High
Arif S. Kinchen     Various     2 - Fast Times at Buddy Cianci, Jr. High
Gina Gershon    Policewoman     3 - Blind Ambition
Judd Hirsch     Himself     3 - Blind Ambition
Jimmy Iovine    Himself     4 - Don't Make Me Over
Gene Simmons    Himself/Prisoner #3     4 - Don't Make Me Over
Tara Strong     Meg's Singing Voice     4 - Don't Make Me Over
Stacey Scowley  Various     4 - Don't Make Me Over
Randy Savage    Macho Man Randy Savage  5 - The Cleveland–Loretta Quagmire
Emeril Lagasse  Himself (uncredited)    5 - The Cleveland–Loretta Quagmire
LeVar Burton    Social Worker   6 - Petarded
Cloris Leachman     Herself     6 - Petarded
Michael York    British Man     6 - Petarded
Natasha Melnick     Various     6 - Petarded
Len Maxwell     Various     6 - Petarded
Jessica Biel    Brooke  7 - Brian the Bachelor
Nancy Cartwright    Daffney     7 - Brian the Bachelor
Drew Pinsky     The Dermatologist   7 - Brian the Bachelor
Joey Slotnick   Various     7 - Brian the Bachelor
Kevin Michael Richardson    Doug the Pimple     7 - Brian the Bachelor
Joanna García   Liddane     8 - 8 Simple Rules for Buying My Teenage Daughter
James Woods     Himself     11 - Peter's Got Woods
Patrick Stewart     Picard  11 - Peter's Got Woods
Gabrielle Union     Shauna Parks    11 - Peter's Got Woods
Jonathan Frakes     Riker   11 - Peter's Got Woods
Michael Dorn    Worf    11 - Peter's Got Woods
Adam Carolla    Death   12 - Perfect Castaway
Jenna von Oÿ    Lorelai     12 - Perfect Castaway
Carrie Fisher   Angela  13 - Jungle Love
Jay Mohr    Joe Pesci   13 - Jungle Love
Mía Maestro     Loca    13 - Jungle Love
Robert Downey Jr.   Patrick Pewterschmidt   17 - The Fat Guy Strangler
Bob Barker  Himself     17 - The Fat Guy Strangler
Alex Breckenridge   Cybill Shepherd     17 - The Fat Guy Strangler
Will Sasso  Todd    17 - The Fat Guy Strangler
Paula Abdul     Herself (Live Action)   18 - The Father, the Son, and the Holy Fonz
Tom Bosley  Howard Cunningham   18 - The Father, the Son, and the Holy Fonz
Sherman Hemsley     Himself     18 - The Father, the Son, and the Holy Fonz
Marion Ross     Marion Cunningham   18 - The Father, the Son, and the Holy Fonz
Sarah Utterback     Lindsay Lohan   18 - The Father, the Son, and the Holy Fonz
Gary Cole   Bill Lumbergh/Priest    18 - The Father, the Son, and the Holy Fonz
Frank Sinatra, Jr.  Himself     19 - Brian Sings and Swings
Alex Breckenridge   Sarah   19 - Brian Sings and Swings
Stacey Scowley  Hope    19 - Brian Sings and Swings
Mark Borchardt  Himself     19 - Brian Sings and Swings
Tom Brady   Himself     20 - Patriot Games
Carol Channing  Herself     20 - Patriot Games
Bob Costas  Himself     20 - Patriot Games
Jay Leno    Himself     20 - Patriot Games
Troy Brown  Himself     20 - Patriot Games
Jeff Bergman    Fred Flintstone     20 - Patriot Games
Alexander Siddig    One of the London Silly Nannies     20 - Patriot Games
Adam Carolla    Death   21 - I Take Thee Quagmire
Bryan Cranston  Himself     21 - I Take Thee Quagmire
Alex Trebek     Himself     21 - I Take Thee Quagmire
Christy Carlson Romano  Quagmire's One-Night-Stand  21 - I Take Thee Quagmire
Beth Littleford     Jane Kaczmarek/Mother at Park   21 - I Take Thee Quagmire
Wallace Shawn   Bertram     22 - Sibling Rivalry
Chris Wedge     Scrat   22 - Sibling Rivalry
H. Jon Benjamin     Carl    23 - Deep Throats
Frank Welker    Kermit the Frog     23 - Deep Throats
Kate Jackson    Mrs. King   23 - Deep Throats
Betty White     Herself     24 - Peterotica
Tamera Mowry    Book Customer   24 - Peterotica
Alex Breckenridge   Renée Zellweger     24 - Peterotica
Stark Sands     Justin Hackeysack   25 - You May Now Kiss the...Uh...Guy Who Receives
Alex Breckenridge   Alyssa  25 - You May Now Kiss the...Uh...Guy Who Receives
Carrot Top  Himself     26 - Petergeist
Bob Costas  Himself     26 - Petergeist
Judith Light    Herself     27 - Untitled Griffin Family History
Noel Blanc  Elmer Fudd  28 - Stewie B. Goode
Ron Livingston  Video Store Clerk   28 - Stewie B. Goode
Rory Thost  Brad/Casper     28 - Stewie B. Goode
Gary Janetti    Various     28 - Stewie B. Goode
Drew Barrymore  Herself     28 - Stewie B. Goode
Don LaFontaine  Various     28 - Stewie B. Goode
René Auberjonois    Odo     29 - Bango Was His Name, Oh!
Tori Spelling   Donna   29 - Bango Was His Name, Oh!
Jason Priestley     Brandon     29 - Bango Was His Name, Oh!
Jennie Garth    Kelly   29 - Bango Was His Name, Oh!
Larry Kenney    Lion-O  29 - Bango Was His Name, Oh!
Lynne Lipton    Cheetara    29 - Bango Was His Name, Oh!
Joy Behar   Herself     30 - Stu and Stewie's Excellent Adventure
Michael Clarke Duncan   Stork   30 - Stu and Stewie's Excellent Adventure
Kiefer Sutherland   24-style opening    30 - Stu and Stewie's Excellent Adventure
Ellen Albertini Dow     Elderly Woman   1 - Stewie Loves Lois
Gore Vidal  Himself     2 - Mother Tucker
Phyllis Diller  Thelma Griffin  2 - Mother Tucker
Tamera Mowry    Esther  2 - Mother Tucker
Samm Levine     Joey    4 - Saving Private Brian
Alex Breckenridge   Peggy   4 - Saving Private Brian
Louis Gossett, Jr.  Himself     4 - Saving Private Brian
Drew Barrymore  Jillian     5 - Whistle While Your Wife Works
Carrie Fisher   Angela  5 - Whistle While Your Wife Works
David Cross     Jerry Kirkwood  6 - Prick Up Your Ears
Drew Barrymore  Jillian     6 - Prick Up Your Ears
Alex Breckenridge   Debbie  6 - Prick Up Your Ears
Drew Barrymore  Jillian     7 - Chick Cancer
Rachael MacFarlane  Olivia  7 - Chick Cancer
Drew Barrymore  Jillian     8 - Barely Legal
Tamera Mowry    Esther  8 - Barely Legal
Garrett Morris  Himself     8 - Barely Legal
Rob Lowe    Stanford Cordray    9 - Road to Rupert
Gene Kelly  Joseph Brady (archive footage) (uncredited)     9 - Road to Rupert
Tom Kenny   SpongeBob SquarePants (archive footage) (uncredited)    9 - Road to Rupert
Bill Fagerbakke     Patrick Star (archive footage) (uncredited)     9 - Road to Rupert
George Wendt    Norm    9 - Road to Rupert
Phyllis Diller  Thelma Griffin  10 - Peter's Two Dads
Charles Durning     Francis Griffin     10 - Peter's Two Dads
Tamera Mowry    Waitress    10 - Peter's Two Dads
Alex Breckenridge   Sarah Jessica Parker    10 - Peter's Two Dads
Keir Gilchrist  Kyle    11 - The Tan Aquatic with Steve Zissou
Hugh Hefner     Himself     12 - Airport '07
Roy Scheider    Himself     13 - Bill and Peter's Bogus Journey
Conway Twitty   Himself (archive footage)   13 - Bill and Peter's Bogus Journey
Patrick Stewart     Peter with Patrick Stewart's voice  14 - No Meals on Wheels
Ben Stiller     Himself     14 - No Meals on Wheels
Drew Barrymore  Jillian     15 - Boys Do Cry
Bill Engvall    Duke Dillon     15 - Boys Do Cry
Gilbert Gottfried   Horse   15 - Boys Do Cry
Neil Patrick Harris     Barney  16 - No Chris Left Behind
Josh Radnor     Ted     16 - No Chris Left Behind
Keith Olbermann     Bob Grossbeard  17 - It Takes a Village Idiot, and I Married One
Don Most    Himself     17 - It Takes a Village Idiot, and I Married One
Ashley Ferl     Crying Girl (uncredited) (archive footage)  17 - It Takes a Village Idiot, and I Married One
Adam Carolla    Death   18 - Meet the Quagmires
Seth MacFarlane     Roger the Alien     18 - Meet the Quagmires
Chevy Chase     Clark Griswold  1 - Blue Harvest
Beverly D'Angelo    Ellen Griswold  1 - Blue Harvest
Mick Hucknall   Himself     1 - Blue Harvest
Rush Limbaugh   Himself     1 - Blue Harvest
Leslie Nielsen  Dr. Rumack (archive footage)    1 - Blue Harvest
Helen Reddy     Herself     1 - Blue Harvest
Judd Nelson     John Bender (deleted scene)     1 - Blue Harvest
Jeff Bergman    Daffy Duck  2 - Movin' Out (Brian's Song)
Drew Barrymore  Jillian     2 - Movin' Out (Brian's Song)
H. Jon Benjamin     Carl    2 - Movin' Out (Brian's Song)
Jamie Farr  Himself     3 - Believe It or Not, Joe's Walking on Air
Paula Abdul     Herself     5 - Lois Kills Stewie
Simon Cowell    Himself     5 - Lois Kills Stewie
Randy Jackson   Himself     5 - Lois Kills Stewie
Patrick Stewart     Avery Bullock   5 - Lois Kills Stewie
Seth MacFarlane     Stan Smith  5 - Lois Kills Stewie
Phyllis Diller  Thelma Griffin  6 - Padre de Familia
Carrie Fisher   Angela  6 - Padre de Familia
Alex Fernandez  Gerardo/Various Mexican Guys    6 - Padre de Familia
Gabriel Iglesias    Mexican #5  6 - Padre de Familia
Pat Crawford Brown  Sanka Dancer    7 - Peter's Daughter
Damien Fahey    Dr. Michael Milano  7 - Peter's Daughter
Jeff Bergman    Fred Flintstone     7 - Peter's Daughter
Conway Twitty   Himself (archive footage)   7 - Peter's Daughter
Ricardo Montalbán   The Cow     8 - McStroke
James Woods     Himself     9 - Back to the Woods
Barry Manilow   Himself     9 - Back to the Woods
David Van Dam   David Letterman     9 - Back to the Woods
Harvey Fierstein    Tracy   11 - The Former Life of Brian
Chace Crawford  Dylan   11 - The Former Life of Brian
Amanda Bynes    Anna    12 - Long John Peter
Kat Foster  Carolyn     1 - Love Blactually
Meredith Baxter     Herself     1 - Love Blactually
Ike Barinholtz  Dane Cook   2 - I Dream of Jesus
Alexandra Breckenridge  Nicole Richie   2 - I Dream of Jesus
Debra Wilson    Star Jones  2 - I Dream of Jesus
Russ Leatherman     Himself (Mr. Moviefone)     2 - I Dream of Jesus
Brian Blessed   Prince Vultan   3 - Road to Germany
Gregory Jbara   Nazi Guard/Nazi General/German Priest   3 - Road to Germany
Johnny Knoxville    Himself     5 - The Man with Two Brians
Carrie Fisher   Angela  6 - Tales of a Third Grade Nothing
Frank Sinatra, Jr.  Himself     6 - Tales of a Third Grade Nothing
Caitlyn Jenner (then Bruce)[a]  Herself     6 - Tales of a Third Grade Nothing
Bob Barker  Himself     6 - Tales of a Third Grade Nothing
Andy Dick   Himself     6 - Tales of a Third Grade Nothing
Debbie Reynolds     Mrs. Wilson     6 - Tales of a Third Grade Nothing
Sinbad  Himself     6 - Tales of a Third Grade Nothing
Elisha Cuthbert     Various     6 - Tales of a Third Grade Nothing
J. P. Manoux    Various     7 - Ocean's Three and a Half
Frank Welker    Megatron    7 - Ocean's Three and a Half
Seth Rogen  Peter with the Seth Rogen gene  8 - Family Gay
Conway Twitty   Himself (archive footage)   9 - The Juice Is Loose
Jeff Bergman    Homer Simpson   9 - The Juice Is Loose
Ed Helms    Al Gore     10 - FOX-y Lady
John Moschitta, Jr.     Himself     10 - FOX-y Lady
Seth Rogen  Himself     10 - FOX-y Lady
Fred Savage     Himself     10 - FOX-y Lady
Daniel Stern    Fred Savage's Voice Over    10 - FOX-y Lady
Peter Chernin   Himself     10 - FOX-y Lady
Patrick Stewart     Himself     11 - Not All Dogs Go to Heaven
LeVar Burton    Himself     11 - Not All Dogs Go to Heaven
Gates McFadden  Herself     11 - Not All Dogs Go to Heaven
Michael Dorn    Himself     11 - Not All Dogs Go to Heaven
Wil Wheaton     Himself     11 - Not All Dogs Go to Heaven
Denise Crosby   Herself     11 - Not All Dogs Go to Heaven
Marina Sirtis   Herself     11 - Not All Dogs Go to Heaven
Brent Spiner    Himself     11 - Not All Dogs Go to Heaven
Jonathan Frakes     Himself     11 - Not All Dogs Go to Heaven
Meredith Baxter     Elyse Keaton    13 - Stew-Roids
Chace Crawford  Jock #2/Popular Kid #4/Trainer  13 - Stew-Roids
Camille Guaty   Gina    13 - Stew-Roids
Wentworth Miller    Jock #4/Popular Kid #2  13 - Stew-Roids
Lauren Conrad   Herself     14 - We Love You, Conrad
Drew Barrymore  Jillian     14 - We Love You, Conrad
Audrina Patridge    Herself     14 - We Love You, Conrad
Jay Leno    Himself (live action)   14 - We Love You, Conrad
Craig Ferguson  Himself (live action)   14 - We Love You, Conrad
Jimmy Fallon    Himself (live action)   14 - We Love You, Conrad
Kate Todd   Heidi Montag    14 - We Love You, Conrad
Sarah Utterback     Lindsay Lohan   14 - We Love You, Conrad
Richard Dreyfuss    Narrator    15 - Three Kings
Roy Scheider    Himself     15 - Three Kings
George Wendt    Norm    15 - Three Kings
Josh Radnor     Himself     16 - Peter's Progress
Jason Segel     Himself     16 - Peter's Progress
Neil Patrick Harris     Himself     16 - Peter's Progress
Ralph Garman    Count Von Count, Krusty The Clown, Principal Prickly, Tattoo Annie, Sideshow Bob, A. Brooks, Stacy Lovell   1 - Road to the Multiverse
Kotaro Watanabe     Japanese Brian, Japanese Quagmire   1 - Road to the Multiverse
Kei Ogawa   Japanese Lois, Japanese Meg     1 - Road to the Multiverse
Jameson Yang    Japanese Peter, Japanese Chris, Japanese Stewie     1 - Road to the Multiverse
Charles Durning     Francis Griffin     2 - Family Goy
Ben Stein   Rabbi Goldberg  2 - Family Goy
William Woodson     Superfriends Announcer  2 - Family Goy
Jeff Bergman    Max Weinstein   2 - Family Goy
Chevy Chase     Himself     3 - Spies Reminiscent of Us
Dan Aykroyd     Himself     3 - Spies Reminiscent of Us
James Lipton    Himself (live action)   3 - Spies Reminiscent of Us
Gary Cole   Mike Brady  3 - Spies Reminiscent of Us
Aimee Garcia    Rita    4 - Brian's Got a Brand New Bag
Paul Gleason    Deputy Police Chief Dwayne T. Robinson  4 - Brian's Got a Brand New Bag
Bruce Willis    Officer John McClane    4 - Brian's Got a Brand New Bag
Reginald VelJohnson     Sgt. Al Powell  4 - Brian's Got a Brand New Bag
George Christy  Dr. Hasseldorf  4 - Brian's Got a Brand New Bag
Tico Wells  Bobby Brown     4 - Brian's Got a Brand New Bag
Hart Bochner    Harry Ellis     4 - Brian's Got a Brand New Bag
Candace Marie   Miley Cyrus     5 - Hannah Banana
Brittany Snow   Candy   6 - Quagmire's Baby
Mae Whitman     Baby    6 - Quagmire's Baby
Kevin Michael Richardson    Jerome  7 - Jerome is the New Black
John Viener     Dean Martin     7 - Jerome is the New Black
Chris Matthews  Himself     8 - Dog Gone
Fred Tatasciore     Various     8 - Dog Gone
Nathan Gunn     Italian Opera Singer    8 - Dog Gone
Kel MacFarlane  Barney the Dog Owner    8 - Dog Gone
Hugh Laurie     Gregory House   9 - Business Guy
Bobby Lee   Sharply Dressed Asian Man   9 - Business Guy
Nana Visitor    Various     9 - Business Guy
Johnny Galecki  Leonard Hofstadter  9 - Business Guy
Jim Parsons     Sheldon Cooper  9 - Business Guy
Dwayne Johnson  Himself (live action)   10 - Big Man on Hippocampus
Adrianne Palicki    Tiffani Amber Thiessen  10 - Big Man on Hippocampus
Dave Boat   Latino in Hardhat   11 - Dial Meg for Murder
Peter Chen  Various     11 - Dial Meg for Murder
Chace Crawford  Luke    11 - Dial Meg for Murder
Camille Guaty   Various     11 - Dial Meg for Murder
Allison Janney  Teen People Editor  11 - Dial Meg for Murder
Jackson Douglas     Various     12 - Extra Large Medium
Andrea Fay Friedman     Ellen   12 - Extra Large Medium
Phil LaMarr     Black Guy   12 - Extra Large Medium
Michele Lee     Estelle Harris  12 - Extra Large Medium
Stephen Bishop  Himself     13 - Go Stewie Go
Mo Collins  Little Girl     13 - Go Stewie Go
Colin Ford  Randall     13 - Go Stewie Go
Anne Hathaway   Mother Maggie   13 - Go Stewie Go
Lucas Grabeel   Anthony     13 - Go Stewie Go
Nana Visitor    Audition Caller     13 - Go Stewie Go
Mae Whitman     Julie   13 - Go Stewie Go
Max Burkholder  Child Doctor    14 - Peter-assment
Richard Dreyfuss    Himself     14 - Peter-assment
Carrie Fisher   Angela  14 - Peter-assment
Jim Goldenberg  Himself     14 - Peter-assment
Max Hodges  Himself     14 - Peter-assment
Harvey Levin    Himself     14 - Peter-assment
Will Shadley    Child Singer    14 - Peter-assment
Rob Lotterstein     Himself     15 - Brian Griffin's House of Payne
Danielle Panabaker  Woods' Daughter     15 - Brian Griffin's House of Payne
Charlie Sheen   Himself     15 - Brian Griffin's House of Payne
Elijah Wood     Himself     15 - Brian Griffin's House of Payne
James Woods     Himself     15 - Brian Griffin's House of Payne
Anne Hathaway   Herself     16 - April in Quahog
Jason Mraz  Some Guy with a Hat     16 - April in Quahog
Wally Wingert   Wally   18 - Quagmire's Dad
Marc Alaimo     The Dean    19 - The Splendid Source
Gary Cole   Principal Shepherd  19 - The Splendid Source
Sanaa Lathan    Donna Tubbs     19 - The Splendid Source
David Lynch     Gus the Bartender   19 - The Splendid Source
Kevin Michael Richardson    Cleveland, Jr.  19 - The Splendid Source
Wally Wingert   Various     19 - The Splendid Source
H. Jon Benjamin     Carl/Yoda   20 - Something Something Something Dark Side
John Bunnell    Himself     20 - Something Something Something Dark Side
James Caan  Himself     20 - Something Something Something Dark Side
Jackson Douglas     Various     20 - Something Something Something Dark Side
Joe Flaherty    Western Union Worker    20 - Something Something Something Dark Side
Phil LaMarr     Various     20 - Something Something Something Dark Side
Dolph Lundgren  Ivan Drago (live action)    20 - Something Something Something Dark Side
Brigitte Nielsen    Ludmilla Vobet Drago (live action)  20 - Something Something Something Dark Side
Michael Pataki  Nicoli Koloff (live action)     20 - Something Something Something Dark Side
Kevin Michael Richardson    Strong Black Man    20 - Something Something Something Dark Side
Tom Selleck     Himself (live action)   20 - Something Something Something Dark Side
James Woods     Himself/General Veers   20 - Something Something Something Dark Side
Gary Beach  Various     21 -: Partial Terms Of Endearment
Jackson Douglas     Dale Robinson   21 - Partial Terms Of Endearment
Phil LaMarr     Various     21 - Partial Terms Of Endearment
Will Sasso  Various     21 - Partial Terms Of Endearment
Julia Sweeney   Naomi Robinson  21 - Partial Terms Of Endearment
Wil Wheaton     Protester   21 - Partial Terms Of Endearment
Michael York    Nature Narrator     21 - Partial Terms Of Endearment
Drew Barrymore  Jillian     1 - And Then There Were Fewer
H. Jon Benjamin     Carl    1 - And Then There Were Fewer
Max Burkholder  Child   1 - And Then There Were Fewer
Colin Ford  Child   1 - And Then There Were Fewer
Patrick Stewart     Talking Cat     1 - And Then There Were Fewer
Ashley Tisdale  Priscilla   1 - And Then There Were Fewer
James Woods     Himself     1 - And Then There Were Fewer
Rush Limbaugh   Himself     2 - Excellence in Broadcasting
Gary Cole   Mike Brady  2 - Excellence in Broadcasting
Christine Lakin     Joyce Kinney    2 - Excellence in Broadcasting
Phil LaMarr     Ollie Williams  2 - Excellence in Broadcasting
Shelley Long    Carol Brady     2 - Excellence in Broadcasting
Nana Visitor    Nancy Pelosi    2 - Excellence in Broadcasting
Rainn Wilson    Dwight Schrute  2 - Excellence in Broadcasting
Max Burkholder  Mouse Altar Boy     3 - Welcome Back, Carter
Christine Lakin     Paula's Friend  3 - Welcome Back, Carter
Rachael MacFarlane  Paula's Friend  3 - Welcome Back, Carter
Chris Cox   Various     4 - Halloween on Spooner Street
Ralph Garman    Various     4 - Halloween on Spooner Street
Candace Marie   Beth    4 - Halloween on Spooner Street
Noah Matthews   Bully   4 - Halloween on Spooner Street
Natasha Melnick     Ruth    4 - Halloween on Spooner Street
Christina Milian    Esther  4 - Halloween on Spooner Street
Lyndon Smith    Various     4 - Halloween on Spooner Street
Patrick Stewart     Dick Pump   4 - Halloween on Spooner Street
Nana Visitor    Justin's Mom    4 - Halloween on Spooner Street
Lisa Wilhoit    Connie D'Amico  4 - Halloween on Spooner Street
Luke Adams  Club Manager    5 - Baby, You Knock Me Out
Carrie Fisher   Angela  5 - Baby, You Knock Me Out
Nicole Sullivan     Boxer   5 - Baby, You Knock Me Out
Dana Gould  Himself     6 - Brian Writes a Bestseller
Arianna Huffington  Herself     6 - Brian Writes a Bestseller
